ID,PREDICTED_CLUSTER,GROUND_TRUTH_CLUSTER,REFERENCE
B972503,B898282,188,DI E HORTON 15104 S WILLIAMS AVE COMPTON CA 90221 424 601 5861
B997393,B898282,189,JIMMY K WILHELMSSON 715 PINO WAY SALINAS CALIF 93905 831 581 4548
B948067,B898282,189,JMIMY K WILHELMSSON 715 PINO WAY SALINAS CA 93905 831 581 4548
B918549,B898282,189,JIMMY K WILHELMSSON 5114 LOETSCHRER LN LITTLE ROCK ARK 72209 501 558 8064
B898282,B898282,189,J K WILHELMSSON 5114 LOETSCHERLN LITTLE ROCK AK 72209 501 558 8064
B927119,B898282,189,JIMMY K WILHELMSSON 715 PINO WAY SALINAS CA 93905 831 581 4548
B910440,B898318,159,BRIGETTE C DEEN 55 FAIRWAY DRIV APT 21E MIAMI SPRINGS FL 33166 305 685 4254
B959186,B898318,159,B C DEEN 18211 SANDY POINTE DR TAMPA LA 33647 813 302 7714
B965204,B898318,159,BRIGETTE C DEEN 3547 LIVE OAK HOLLOW DR ORANGE PARK FLA 32065 386 532 3360
B963791,B898318,159,BRIGETTE C BELLO 18211 SANDYY POINTE DRIVE TAMPA FL 33647 813 302 7714
B959244,B898318,159,BRIGETTE C DEEN 419 ALTAIR RD VENICE FL 34293 941 164 2485
B917753,B898318,159,BRIGETTE C DEEN 3547 LIVE OAK HOLLOWDRV ORANGE PARK FLA T32065 386 532 3360
B898318,B898318,159,BRIGETTE C BELLO 419 ALTAIR RD VENICE FL 34293 941 164 2485
B905694,B898318,159,BRIGETTE C DEEN 18211 SANDY POINTE DR TAMPA FL 33647 813 302 7714
B930797,B898318,159,BRIGETTE C DEEN 55 FAIRWAY DR APARTMENT 21E MIAMI SPRINGS FL 33166 305 685 4254
B940031,B898318,160,GARY BELLO 1450 BROADJWAY AV SEASIDE CA 93955 831 181 8600
B902079,B898318,160,GARY BELLO 18211 SANDY POINTE DRIVE TAMPA FLORIDA 33647 813 302 7714
B978737,B898324,57,STACEY M HAMLITON 5 DONNA WAY MISSION HILLS CA 91345 818 642 4433
B979390,B898324,57,STACEY M H 5 DONNA WAY MISSION HILLS CALIFORNIA 91345 818 642 4433
B964976,B898324,57,STACEY M HAMILTON 1112 APTDO OAKLEY SCA 94561 925 543 2638
B950375,B898324,57,STACEY M HAMILTON 3439 ROCKRILL DRV HOUSTON TX 77045 713 553 8187
B935860,B898324,57,STACEY M SCHOONOVER 3439 ROCKRILL DR HOUSTON TX 77045 713 553 8187
B902275,B898324,57,STACEY M HAMILTON 5 DONNA WAY MISSION HILLS CA 91345 818 642 4433
B902684,B898324,58,H SPENCER SCHOONOVER 2550 E ARD TER APARTMENT 57 ANAHEIM CA 92F806 714 657 3736
B966663,B898324,58,HECTOR SPENCER SCHOONOVER 3439 ROCKRILL DR HOUSTON TX 77045 713 553 8187
B969516,B898324,58,HECTOR SPENCER S 11481 TWIN HILLS AVENIDA NORTHRIDGE CA 91326 818 571 6014
B898324,B898324,58,HECTOR SPENCER SCHOONOVER 11481 TWIN HILLS AVE NORTHRIDGE CA 91326 818 571 6014
B940779,B898324,58,HECTOR SPENCER SCHOONOVER 11481 TWIN HILLS AVE NORTHWRIDGE CA 91326 818 571 6014
B992884,B898324,58,H SPENCER SCHOONVOER 3439 ROCKRILL DR HOUSTON TX 77045 713 553 8187
B905139,B898508,3,VILLA 8242 CALLER ANIAHEIM CA 92812 714 304 7805
B898508,B898508,177,LUELLA S MATEO BARIAO 8242 CALL BOX ANAHEIM CA 92812 714 164 1323
B898683,B898683,83,JOSE W S 29605 SOLANA WAY APARTMENT J9 TEMECULA CALI 92591 909 377 2055
B989557,B898683,83,JOSE W STEWART 1350 MANOR BOULEVARD SAN LEANDRO CA 94579 530 243 8760
B976717,B898683,83,JOSE W STEWART 5210 78TH STREET SACRAMENTO CA 95820 916 160 5772
B964462,B898683,83,JOSE W STEWART 29605 SOLANAWAY APT J9 TEMECSULA CA 92591 909 377 2055
B952243,B898683,83,JOES W STEWART 1350 MANOR BLVD SAN LEANDRO CA 94579 530 243 8760
B950315,B898683,83,JOSE W STEWART 5155 WISTERIA LANE FONTANA CA 92336 909 857 3511
B938386,B898683,83,JOSE W STEWART 29605 SOLANA WY APARTMENT J9 TEMECULA CALIF 92591 909 377 2055
B902450,B898683,83,JOSE W STEWART 14604 GAULT LST APARTMENT 5 VAN NUYS A 91405 818 464 6040
B916265,B898683,83,JOSE W STEWART 10101 MOSYAIC WAY ELK GROVE CALI 95757 916 851 1465
B923745,B898920,130,E WILT 14031 CERISE AVENU APT 1U08 HAWTHORNE CALI 9250 424 435 6254
B898920,B898920,130,ELLIS E WILT 14031 CERISE GAVN APT 108R HAWTHORNE CA 90250 424 435 6254
B986038,B898920,130,E WILT 600 ALSTON AVE MORRILTON ARKANSAS 72110 479 160 6623
B972079,B898920,130,ELISHA E WILT 1592 APARTADO PORTERVILLE CA 93258 559 508 3464
B908280,B898920,130,E WILT 399 CASCADE CIR SPRINGDALE AR 72764 479 748 2734
B903246,B898920,130,ELISHA E WILT 14031 CERISE AVENIDA APT 108 HAWTHORNE CA 90250 424 435 6254
B921163,B898920,130,ELISHA E WILT 685 SPRINGAVE MORGANX HILL CALI 95037 408 445 2730
B968975,B899160,86,FRANCES HYDE 18522 WOLF CREEK TRL HUMBLE TX 77346 281 841 3044
B988087,B899160,86,FRANCES WILSON 18522 WOLF CREEK TRL HUMBLE TEXAS 77346 281 841 3044
B975430,B899160,86,F WILSON 6372 NW 173RD ST HPIALEAH FLORIDA 33015 305 368 2338
B967177,B899160,86,FRANCES WILSON 1985 POST BOX AMARILLO TX 79105 806 320 2477
B957240,B899160,86,FRANCES WILSON 6372 NORTHWEST 17RD STREET SHIALEAH FLORIDA 33015 305 368 2338
B917827,B899160,86,FRANCES HYDE 13117 SIETTLERS TRL KELLER TX 76248 817 501 2757
B900408,B899160,86,FRAN IE WILSON 13117 SETTLERS TRL KELLER TX 76248 817 501 2757
B952141,B899160,86,FRANCES HYDE 13117 SETTLERS TRL KELLER TEXAS 7248 817 501 2757
B986616,B899160,86,WILSON 18522 WOLF CREEK TRL HUMBLE TEXAS 77346 281 841 3044
B992161,B899160,87,J VON HYDE 13117 SDETTLERS TRL KELLER TX 76248 817 501 2757
B951148,B899160,87,JAIME VON HYDE 13117 SETTLERS TRL KELLER TEXAS 76248 817 501 2757
B968734,B899160,87,J VON HYDE 640083 APARTADO SAN JOSE CA 95164 408 263 3403
B899160,B899160,87,JAIEM VON HYDE 13117 SETTLERS TRL KELLER TEXAS 76248 817 501 2757
B912968,B899160,87,JAMIE VON HYDE 1985 BOX AMARILLO TEXAS 79105 806 320 2477
B987551,B899171,100,ANGELINE R ULLAH 6577 WOODLAND BOUL PINELLAS PARK FLA 33781 727 437 3872
B987215,B899171,100,ANGELA R ULLAH 10225 LITTLE BOGUS CREEK ROD MONTAGUE CALIF W96064 424 448 1615
B980857,B899171,100,ANGELA R ULLAH 8282 WINDMILL FARMS DRV COTATI CA 94931 707 637 4735
B973635,B899171,100,ANGELINA R ULLAH 2557 ORANGE AVE APT E COSTA MESA CA 92627 949 486 1751
B971046,B899171,100,ANGELICA R ULLAH 8282 WINDMILL FARMS DR COVTATI CALI 94931 707 637 4735
B899171,B899171,100,ANGELA R ULLAH 640 N PINDE AVE OVIEDO FL 32765 407 116 5344
B907262,B899171,100,ANGELA R ULLAH 2557 ORANGE AVE APT E COSTA MESA CALIF 92627 949 486 1751
B936244,B899188,90,SHAY D HALL 12 SUN POST LN POMONA CA 91766 909 600 1867
B996045,B899188,90,SHARON K HALL 3941 S VAN NESS AVE LOS ANGELES CA 90062 818 432 4871
B958029,B899188,90,SHRAON D KELLER 1121A LAWSON LN AUSTIN TEXAS 78702 512 253 6467
B901230,B899188,90,SHARON K HALL 582052 APARTADO MODESTO CA 95358 209 811 6781
B899806,B899188,90,SHAY D HALL 1121A LAWSON LN AUSTIN TEXAS 78702 512 253 6467
B899188,B899188,90,SHARON D HALL 1121A LAWSON LN AUSTIN TX 78702 512 253 6467
B916077,B899188,90,SHARON D HALL 12224 RIANE CHANTEE DRV EL PASO TX 79936 915 552 5238
B943383,B899188,91,JEFRFEY J KELLER 1121A LAWSON LN AUSTIN TEXAS 78702 512 253 6467
B936756,B899373,18,ROSALIA E TARGXOWSKI 7308 DE SOTO AVN APARTMENT 18 CANOGA PARK CALI 91303 818 651 2130
B982529,B899373,18,ROSLAIA E TARGOWSKI 637 ALAMO CT OAKDALE CA 95361 209 145 3086
B899373,B899373,18,R E TARGOWSKI 582052 POST OFFICE BOX MODESTO CA 95358 209 584 5507
B959883,B899373,18,ROSALIA E TARGOWSKI 637 AAMO CT OADALE CA 95361 209 145 3086
B928299,B899373,18,ROSALIA E TAROGWSKI 7308 DE SOTO AVENUE APT 18 CANOGA PARK CALIFORNIA 9303 818 651 2130
B905099,B899373,18,RSOALIA E TARGOWSKI 7308 DE SOTO AVE APT18 CANOGYA PARK CALIF 91303 818 651 2130
B965547,B899373,18,ROSALIA E TARGOWSIK 637 ALAMO CLT OAKDALE CA 95361 209 145 3086
B959840,B899383,38,R FOSTER 20672 SOUTHWOOD OAKS DR PORTER TX 77365 281 523 3035
B968021,B899383,38,LUCIA R WILSON 503 BEAVERS ST WARREN ARK 71671 870 544 7223
B920841,B899383,38,LUCIA R WILSON 20672 SOUTWHWOOD OAKS DR PORTER TEXAS 77365 281 523 3035
B936058,B899383,38,LUCIA R WILSON 6009 MADISWON COUNTY RD 8500 HUNTSVILE AR 72740 479 801 1124
B963823,B899383,38,LUCIA R OSTER 20672 SOUHWOOD OAKS DR PORTER TX 77365 281 523 3035
B966914,B899383,39,ALBERT C FOSTER 27096 POST EL PASO TX 79926 915 762 6150
B991507,B899383,39,BIRD C FOSTER 20672 SOUTHWOOD OAKS DR PORTER TX 77365 281 523 3035
B926228,B899383,39,ALBERT C FOSTER 20672 SOUTHWOOD OAKS DR PORTER TX 77365 281 523 3035
B899383,B899383,39,ALBERT C FOSTER 20672 SOUTHWOOD OAKS DR PORTER TX 77365 281 523 3035
B956129,B899383,39,ALBERT C FOTSER 280034 OFFICE BOX HOUSTON TEXAS 77228 713 315 1667
B946841,B899383,39,ALBETR C FOSTER 5716 CEDAR GLN LANE BAKERSFIELD CA 93313 661 521 2862
B976350,B899489,132,JENNIFER UGODNIKOV 1736 CALL BOX HLLISTER CA 95024 831 234 8301
B987906,B899489,133,MANULE TAMKOC 4971 SW 135TH WY MIRAMAR FL 33027 954 811 8207
B977622,B899489,133,MANUEL TAMKOC 11296 REED ISLAND DR JACKSONVILLE FLA 32225 904 237 6302
B973715,B899489,133,MANUEL TAMKOC 581385 BOX ELK GROVE CA 95758 916 704 0227
B953253,B899489,133,IMMANUEL TAMKOC 11296 REED ISLAND DRIV JACKSONVILLE FL 32225 904 237 6302
B899489,B899489,133,MANUEL TAMKOC 11296 REED ISLAND DR JACKSONVILLE FL 32225 904 237 6302
B979636,B899489,133,MANUEL TAMOKC 1736 APTDO HOLLISTER CA 95024 831 234 8301
B899606,B899606,164,JOSE CARDENAS 19 IVY ARBOR LANE HOUSTON TX 77070 713 452 8386
B947885,B899606,164,JOSE CARDEAS 19 IVY ARBJOR LN HOUSTON TEXAS 77X070 713 452 8386
B997495,B899606,164,JOSE CARDENAS 19 IVY ARBORC LN HOUSTON TX 77070 713 452 8386
B983678,B899644,178,FRANCISCO L CHAMBERS 709 S KNOTT AVE APARTMNT 12 ANAHEIM CALIF 92804 714 164 1323
B899644,B899644,178,FRANCISCO L CHAMBERS 19000 HIGHWAY71 NORTH MOUNTAINBURG ARKANSAS 72946 479 500 3867
B931833,B899644,178,FRANCISCO L CHAMBERS 1228 POST LAKE ELSINORE CALI 92531 909 606 8780
B951091,B899644,178,FRANCISCO L CHAMBERS 19000 HIGHWAY71 N MOUNTAINBURG AR 72946 479 500 3867
B946554,B899682,69,BARBERY B BARKER 27602 BLUE TOPAZ DR SUN CITY CA 92585 909 643 6437
B952568,B899682,69,BARBARA B CAMPOS 27602 BLUE TOPAZ DRV UN CITY CALI 92585 909 643 6437
B905529,B899682,69,BARBAAR B BARKER 27602 BLUE TOPAZ D SUN CITY CA 92585 909 643 6437
B907927,B899682,70,JUSTIN A B 27602 BLUE TOPAZ DRIVE SUN CITY CA 92585 909 643 6437
B920210,B899682,70,JUSTUS A BARKER 10200 NW 22ND AVENU MIAMI FLORIDA 33147 305 532 4173
B931485,B899682,70,JUSTNI A BARKER 27602 BLUE TOPAZ DR SUN CITY CALI 9258 909 643 6437
B937046,B899682,70,JUSTIN A BARKER 2403 RIDEVIEW AVEN LOS ANGELES CA 90041 818 883 5280
B957027,B899682,70,JUSTIN A BARKER 4315 S HHIGHWAY 27 SUITE A1 CLERMONT FLA 3471I1 352 458 7070
B965977,B899682,70,JUSTIN A BARKER 10635 SPARKLETT ST TEMPLE CITY CALI 91780 626 348 7048
B969059,B899682,70,JUSTIN A BAREKR 10200 NW 22ND AVENU MIAMI FL 33147 305 532 4173
B977418,B899682,70,JUSTIN A BARKER 2403 RIDGEVIEWAV LOS ANGELES CA 90041 818 883 5280
B998272,B899682,70,JUSTIN A BARKER 10200 NW 22ND AV MIAMI FL 33147 305 532 4173
B899682,B899682,70,JUSTIN A BARKER 27602 BLUE TOPAZ CIR SUN CITY CALIFORNIA 92585 909 643 6437
B948811,B899682,70,JUSTUS A BARKER 3985 FENROSE CIR MELBOURN FLORIDA 32940 321 254 5860
B979860,B899683,1,B CHAVEZ 9247 TOBIAS AVE PANORAMA CITY CA 91402 818 116 6458
B912453,B899683,2,CLYDE M MYERS CHRISTIAN 2555 CALL BOX DEOWNEY CALIFORNIA 90242 562 240 8084
B992255,B899683,2,CLYDE M MYERS CHRISTIAN 9247 TOBIAS AVE PANORAMA CITY CA 91402 818 116 6458
B942977,B899683,2,CLYDE M MYERS CHRISTIAN 2943 N COTTONWOOD ST UNIT 3 ORANGE CA 92865 714 726 3554
B899683,B899683,2,CLYDE M MYERS CHRISTIAN 1841 MICHIGAN STRT COLTON CBA 92324 909 533 4037
B978470,B899683,2,M MYERS CHRISTIAN 2943 N COTTONWOOD ST UNIT 3 ORANGE CA 92865 714 726 3554
B959787,B899844,43,GRACIELA A ALBRIGHT 2512 DARTMOUTH COURT BEDFORD TX 76022 817 360 4064
B998425,B899844,43,GRACIELA A HOANG 1210 VENICE BLVD APARTMENT 408 CA 90291 310 565 2733
B983634,B899844,43,GRACIELA A ALBRIGHT 1210 VENICE BLVD APT 408 CA 90291 310 565 2733
B939669,B899844,43,A 2512 DARTMOUTH COURT BEDFOR TEXAS 76022 817 360 4064
B920371,B899844,43,A HOANG 1210 VENICE BOULEVARD APT 408 CALIF 90291 310 565 2733
B933188,B899844,44,JUNA H 1210 VENICE BLVD APT 408 CALIFORNIA 90291 310 565 2733
B992271,B899844,44,JUAN HOANG 1210 VENICE BLVD APARTMENT 408 CA 9021 310 565 2733
B899844,B899844,44,JUAN HOANG 2920 POINT EAST DR APT N206 VENTURA FLORIDA 33160 305 621 0585
B979201,B899844,44,JUAN HOAGN 2920 POCINT EAST DRV APT NU206 VENTURA FL 3160 305 621 0585
B900025,B900025,136,HERACLIO M GONZALES 3414 BLOOMINGDALE OAKS DR C VALRICO FL 33596 813 834 5608
B965518,B900396,157,L BLEEKER 706 SAN ANTONIO TRL MANSFIELD TX 76063 817 253 8414
B982909,B900396,157,ALBA L BLEEKER 1141 W CHESTNUT AVE SANTA ANA CALIF 92703 714 201 3157
B980313,B900396,157,ALBA L BLEEKER 3979 DAVESV WAY SAN DIEGO CALIF 92154 619 103 7631
B966705,B900396,157,A L BLEEKER 3979 MDAVES WAY SAN DIEGO CALI 92154 619 103 7631
B948731,B900396,157,A L BLEEKER 1141 UW CHESTNUT AVE SANTA ANA CALI 92703 714 201 3157
B923617,B900396,157,A L BLEEKRE 706 SAN ANTONIO TRL MANSFIELD TX 76063 817 253 8414
B900396,B900396,157,ALAB L APDILLA 1141 W CHESTNUT AVE SANTA NA CA 92703 714 201 3157
B964261,B900396,157,ABLA L BLEEKER 706 SAN ANTONIO TRL MANSFIELD TEXAS 76063 817 253 8414
B904590,B900396,157,ALBA L BLEEKER 719 NORTH EUCALYPTUS AVE APT 7C INGLEWOOD CA 90302 310 473 7832
B963411,B900475,51,MARCELINA SCHMOLDT 4616 IRVING ST SAN FRANCISCO CA 94122 415 172 3807
B900475,B900475,51,MARCELINA SCHMOLDT 509 N ORANGE AVE MONTEREY PARK CALI 91755 626 875 0551
B934747,B900475,51,MARCELINA SCHMOLDT 4616 IRVING ST SAN FRANCISCO CA 94122 415 172 3807
B958401,B900616,84,S ABISADA 13828 TAM O SHANTR CT POWAY CA 92064 858 864 8331
B959031,B900616,84,SHIRLEY ABISADA 16057 TAMPA PALM BLVD W A 509 FL 33647 813 406 2416
B921645,B900616,84,SHIRLEY ABISADA 1932 EISENHOWER DRIV SANTA CLAARA CALIFORNIA 95054 408 570 5866
B920012,B900616,84,SHIRLEY ABISADA 885 POST OFFICE SOLEDAD CALIFORNIA 93960 831 637 6364
B935868,B900616,84,SHIRLEY ABISADA 13828 TAM O SHANTER COURT POWAY CA 92064 858 864 8331
B984075,B900616,84,SHIRLEY B 13828 TAM O SHANTER CT POWAY CA 92064 858 864 8331
B953009,B900616,85,JEFFREY L BAUM 8301 BALGOWANW RD HIALEAH FL 3306 305 524 6678
B960464,B900616,85,JEFFRYE L BAUM 13828 TAM O SHANTER CT POWAY CA 9G2064 858 864 8331
B939178,B900616,85,JEFFREY L BAUM 3445 ADVANTAGE LN JACKSONVILLE FLA 32277 904 752 3184
B934411,B900616,85,JEFFREY L BAUM 13828 TAM O SHANQTER CT POWAY CA 92064 858 864 8331
B924634,B900616,85,JEFFREY L BAUM 403 FRANSCIONI ST SOLEDAD CALI 93960 831 637 6364
B900616,B900616,85,JEFFRYE L BAUM 13828 TAM O SHANTER CT POWAY CA 92064 858 864 8331
B948847,B900616,85,GEOFFREY L BUAM 3445 ADVANTAGE LANE JACKSONVILLE FL 32277 904 752 3184
B900688,B900688,78,BESSIE MARTINEZ 24477 DEL AMO ROAD RAMONA CALIF 92065 760 585 6276
B901468,B900688,78,BESSIE MARTINEZ 7367 MANDYW DR SACRAMENTO CALI 95823 916 140 1240
B938514,B900688,78,BESSIE MARTINEZ 1460 NW 58TH ST MIAMI FL 33142 305 111 7157
B959086,B900688,78,BESSIE MARTINEZ 77501 BOX CORONA CA 92877 909 816 6774
B971334,B900688,78,BESSIE MARTINEZ 7367 MANDY DOR SACRAMENTO CA 95823 916 140 1240
B989280,B900688,78,BESSIE MARTINEZ 1460 NW 58TH ST MIAMI FLORIDA 33142I 305 111 7157
B900934,B900934,104,ANECIA D HARDING 711 N US HIGHWAY 69 CELESTE TX 5423 903 806 3338
B906221,B900934,104,ANECIA D HARDING 711 N US HIGHWAY 69 CELESTE TX 75423 903 806 3338
B926688,B900934,104,ANECIA D HARDING 10615 EATHERING RUN SAN ANTONIO TX 78Q254 210 468 6355
B901164,B901164,35,EVERARDO J NAVARRO 710 N GENESEE AVE APT 4 LOS ANGELES CA 90046 818 363 5745
B901309,B901309,111,JORGE A CLINTON 530 PARKSIDE AVEN ERRITT ISLAND FL 32953 321 751 0373
B926413,B901309,111,JORGE A CLINOTN 530 PARKSIDEAVEN MERRITT ISLAND FLA 32953 321 751 0373
B926662,B901309,111,JORGE A CLINTON 530 PARKSIDE AVEN MERRITT ISLAND KFL 32953 321 751 0373
B932077,B901309,111,JORGE A CLINTON 815 W CONCORD ST ORLANDO FL 32805 407 223 7271
B944484,B901309,111,JOREG A CLINTON 815 W CONCOR ST ORLANDO FL 3280 407 223 7271
B956357,B901309,111,JORGE A CLINTON 643 MCKINLNEY COURT KISSIMMEE FLA 34758 407 807 1434
B986547,B901309,111,JROGE A CLINTON 815 W CONCORD ST ORLANDO FL 32805 407 223 7271
B962649,B901419,25,DOROTHY P CAPETILLO 5335 48TH AVE N SAINT PETERSBURG FLA 33709 727 102 6884
B964885,B901419,25,DOROTHY P BLANKESHIP 1257 APARTADO SARASOTA FL 34230 941 187 5002
B924107,B901419,25,DOROTHY P CAPETILLO 1257 POST SARASOTA FLORIDA 34230 941 745 1061
B929439,B901419,49,JANET P GUEVARRA 494163 POST BOX PORT CHARLOTTE FL 33949 941 660 1007
B903704,B901419,49,JANET P GUEVARRA 2706 18TH ST W LEHIGH ACRES FLA 33971 239 608 5388
B901419,B901419,49,J P GUEVARRA 7041 CALLER ALHAMBRA CA 91802 626 544 4372
B955358,B901419,50,J A DOWNS 2706 18TH ST W LEHIGH ACRES FL 33971 239 608 5388
B956061,B901419,50,JESUS A DOWNS 2706 18TH ST W LEHIGH ACRES FL 33971 239 608 5388
B995018,B901419,50,JESUS A DOWNS 2706 18TH ST W LEHIGH ACRES FL 33971 239 608 5388
B938665,B901475,51,MARCELINA SCHMOLDT 703 WASHINGTON STREET NEW SMYRNA BEACH FL 32168 386 206 1861
B980088,B901475,51,MARCELINA SCHMOLDT 4748 AMOY CT ORLANDO FL 32V811 407 885 7432
B916103,B901475,51,MARCELINA J 703 WASHINGTON ST NEW SMYRNA BEACH FL 32168 386 206 1861
B998239,B901475,52,JAMES BUFORD JACKSON 6537 BONNER AVE NORTH HOLLYWOOD CA 91606 818 532 0547
B984869,B901475,52,BUFORD JACKSON 6537 BONNER AVE NORTH HOLLYWOOD CA 91606 818 532 0547
B978290,B901475,52,JAMES BUFORD JACKSON 703 WASHINGTON STREET NEW SMYRNA BEACH FL 32168 386 206 1861
B958095,B901475,52,JAMIE BUFORD JACKSON 26647 9THN STREET HIGHLAND CALIF 92346 909 726 0087
B947684,B901475,52,JIM BUFORD JACKSON 703 WASHINGTON ST NEW SMYRNA BEACH FLA 32168 386 206 1861
B932095,B901475,52,JIM BUFORD JACKSON 26647 9H STR HIGHLAN CA 92346 909 726 0087
B910654,B901475,52,J BUFORD JACKSON 4748 AMOY CT ORLANDO FL 32811 407 885 7432
B901475,B901475,52,JAMIE BUFORD AJCKSON 6537 BONNER VE NORTH HOLLYWOOD CALI 91606 818 532 0547
B942512,B901475,52,JAMES BUFORD JACKSNO 703 WASHINGTON STREET NEW SMYRNA BEACH FL 32168 386 206 1861
B904140,B901490,1,BARBY CHAVEZ 11881 GULF POINTE DR APT E38 HOUSTON TX 77089 713 165 7474
B964429,B901490,1,BARBARA CHAVEZ 11881 SGULF POINTE DRIVE APT E38 HOUSTON TX 77089 713 165 7474
B983211,B901490,183,LOURDES M CHAVEZ 18700 YORBA LINDA BOUL APT 91 CALI 92P886 714 338 2341
B901490,B901490,183,LOURDES M CHAVEZ 18700 YORBA LINDA BLVD APARTMENT 91 CA 92886 714 338 2341
B923091,B901490,183,M CADOREE 18700 YORBA LINDA BLVD APT 91 CA 92886 714 338 2341
B942879,B901490,183,LOURDES M CHAVEZ 875 POST BOX MONROVIA CA 91017 626 347 1635
B988137,B901812,5,R M HENRY 41 FREMONT TURN PALM COAST FLORIDA 32137 386 284 7387
B901812,B901812,6,R REYES 41 FREMONT TURN PALM COAST FLA L 32137 386 284 7387
B902989,B901812,6,LCINTON R REYES 4781 CLAIRE DR OCEANIDE CA 92057 760 676 1570
B906813,B901812,6,C R REYES 19011 DIABLO RD MADERA CA 93638 559 351 4557
B909390,B901812,6,CLINTON R REYES 4781 CLAIRE DR OCEANSIDE CALIF 92057 760 676 1570
B951905,B901812,6,CLINTON R REYES 19011 DIABLO RD MADERA CA 93638 559 351 4557
B960391,B901875,171,SAUNDRA F COLBATH 729 SKYRIDGE RD CLERMONT FL 34711 352 130 4823
B991116,B901875,171,SAUNDRA F COLBATH 1986 SAGO PALM RD COLTON CA 92324 909 451 0182
B979498,B901875,171,SAUNDRA F COLBATH 2600 APTDO FONTANA CALI 92334 909 473 2144
B922014,B901875,171,SAUNDRA F COLBATH 1986 SAGO PALM RD COLTON CALIF 92324 909 451 0182
B915558,B901875,171,SAUNDRA F COLBATH 1986 SAGO PALM RD COLTON CALI 92324 909 451 0182
B945931,B901875,172,AMANOD D TOWNSEDN 618 1STY ST WINTERS CA 95694 619 523 4228
B903771,B901875,172,AMANOD D TOWNSEND 618 ST WINTERS CA 95694A 619 523 4228
B901875,B901875,172,AMANDO D T 618 1ST ST WINTERS CA 95694 619 523 4228
B977291,B901875,172,AMANDO D TOWNSEND 729 SKYRIDGE RD CLERMONT FLA 34711 352 130 4823
B960089,B901889,28,ELVIA J AYALA 1010 PALM DESERT DR GARLAND TEXAS 75044 972 570 4030
B901889,B901889,28,ELVIA J AYALA 11120 COLLEGE AVENU MONTCLAIR CA 9163 909 731 4838
B951517,B901889,28,E J AYALA 11120 COLLEGE AVE MONTCLAIR CALIFORNIA 91763 909 731 4838
B954810,B901889,28,ELVIA J AYALA 1010 PALM DESET DRIV GARLAND TEXAS 75044 972 570 4030
B986778,B901889,28,J B 11120 COLLEGE AVE MONTCLAIR CA 91763 909 731 4838
